rho0,rho03
117.549654678589,120.147354395331
125.315906024178,127.050905212047
111.198492851701,114.044950691604
118.379551553806,120.607936592312
122.450541549032,124.670820936693
110.437419041714,113.643249393243
122.302117937933,124.359419007062
119.266908573451,121.436367091988
116.632572081228,118.896664687521
120.635583409834,122.787348641628
115.892601180207,118.405048050559
123.89717209835,125.898954243542
118.968497294555,121.366613576475
113.323055050241,116.399314364298
111.238364134854,114.117513827351
114.262563263188,116.770868141537
111.423651810635,115.100953869175
120.074432090632,122.450598368285
111.112939124666,114.157469874436
114.215659165271,116.881892230027
117.71618169393,120.239438905784
124.98636046594,126.930392710968
117.52784553274,120.019744977259
118.449757515655,120.831692002052
117.541147342471,119.985084192624
119.698686602894,122.00058290787
116.788463488271,119.141972476778
116.069992235238,118.553000885024
112.734832075697,115.551022513938
120.325163432486,122.481813518787
118.942858655242,121.27526879145
109.229727453029,112.059379770459
109.792592862808,112.836223429345
124.507026074013,126.540404040442
116.451140526994,118.984121916821
115.191285259974,117.808122049471
125.557239636546,127.46516561457
121.010686072237,123.13046322512
120.24231466237,122.415998678603
116.372609881106,118.866343821229
114.004088499036,116.500776696994
114.155175814549,117.105340746757
117.504857490495,120.079968785305
114.956657771894,117.618539210539
112.85229245232,115.912386928121
109.699032159532,112.943266813177
124.773358528268,126.628968020697
108.554710359835,111.892679358822
121.746533634596,123.906572646791
119.293781242269,121.706392317021
116.313248318947,118.503508809583
108.86641115401,111.875117657875
116.46598793145,118.845610606585
117.01750379654,119.74237433868
111.280015789983,113.895450143561
118.456847938483,120.904549651602
112.049918789315,115.238018616767
111.739236752798,114.556297757739
122.662810868188,124.801982955631
121.21669126489,123.262038291857
115.419634601053,118.142705973089
120.822889173212,122.846331663213
119.139566703961,121.446261813587
124.237868332455,126.331288913418
113.675811641786,115.932430299086
112.279692828483,115.078018364003
113.319570282791,116.070218394937
116.131754103003,118.429983575127
117.19903364563,119.520823230804
118.070453272037,120.470227522502
109.6476701647,112.457898557775
118.654064786597,120.921064389905
121.822040120037,124.179343130963
115.973926545255,118.624746298852
112.78984465954,115.62209860341
110.435076756332,113.531914272612
125.20642577238,127.142826856325
118.495458363846,120.76436968047
112.478843417767,115.553825947765
111.611012388844,114.460231423334
113.898084902744,116.524775509435
120.443418915477,122.828376557949
119.629812893729,121.887352075532
119.834575138807,121.97777068173
115.590578660615,118.596308904983
120.748188545883,123.0379938541
114.669908242332,117.444599140193
108.020176499131,111.029535112318
112.65263466658,115.669320334799
106.372411974987,109.399438156977
113.546715439385,116.336921223039
120.886279478038,123.160949963229
113.318434118445,116.218663034258
112.284368947356,115.206732490147
117.865922797724,120.207116634554
111.935872317437,114.631156429569
105.277513175769,108.83170962132
113.399154992847,116.169221047768
115.36864563039,117.858041857845
115.146250261912,117.581756884999
106.334282875912,109.901539231495
107.024214737997,110.012853728742
115.006831763917,117.413615470451
112.935099218142,115.620361087649
115.211415289201,117.671204312175
117.81419981682,120.286749033532
119.733448178499,122.08182135193
108.421021154827,111.675763000672
115.11782674164,117.78709225854
112.822728472337,115.599552169785
112.782464825731,115.452819435209
114.47656862501,117.065692611793
112.297479174602,115.150574869598
115.552853230946,118.293549071258
105.847887536333,109.179458640739
113.100903058056,115.813829904481
118.910334104003,121.445041200346
106.664397841958,110.027781299163
112.304264152156,114.826428885385
120.029983521949,122.283582649733
111.214910769492,113.754247330503
111.48762783786,114.172834983723
112.238240930376,115.227867460934
107.675585323746,110.93045326444
118.481782504646,120.741616252665
119.209442082513,121.651583546258
109.075454461265,111.847671606706
113.427944555397,116.23589464639
113.157450160282,115.654174476042
111.283945309083,114.005995462721
108.497986357735,111.372569028607
115.751860372355,117.980403920204
120.046898823802,122.1955499006
108.736748835622,112.154579984862
115.89739497499,118.337175444562
106.489120766595,109.628215433572
124.530288420046,126.465545877081
111.907125236601,114.698553449762
105.789100836728,109.299083783171
116.37329095968,118.823765679113
116.346431870877,118.83428116288
116.05111429332,118.757287296668
112.278185093833,114.884315914607
120.100291713536,122.173368166066
118.000749106353,120.520491038814
113.206974809212,115.862286549239
112.935061253217,115.839640923953
114.444121449583,116.983077086701
102.455532790731,107.083825168442
117.509475842701,120.145567852669
114.832910278663,117.580979971722
119.26783071334,121.510693845337
115.663744515865,118.275654750626
117.21512322378,119.872882522152
105.338104973541,108.732966403042
106.207284244912,109.494783689167
114.725999434741,117.363560207173
114.34942671092,116.898432484863
118.127211192318,120.413755733442
104.90055510852,108.924295791452
112.172938727786,114.848493142131
115.69664128614,118.095558332631
112.877418139206,115.649473049008
111.492749777777,114.295809354498
111.871554404287,114.715920600017
121.033190473578,123.101037296442
113.420971325082,116.400057847708
115.364637545143,117.687443624868
118.801286680256,121.151269967077
107.188648778833,110.542935052161
114.093572179656,116.670615011006
111.9167932773,115.004592679378
109.071423677131,112.118719058759
118.367559262302,120.856530493743
109.291502061017,112.712277711697
113.679329383114,116.12692092866
111.012592066795,113.63394833987
109.261877413894,112.073077065772
104.529739971036,107.799904765272
117.137015251495,119.614017712448
111.948512206439,114.975012563385
105.247639701393,108.884428993926
107.528687271225,110.366047077964
104.454322407515,108.364831534467
111.9589130967,114.644627304465
112.006541730028,114.687635377818
111.162833326853,113.927339632416
118.150251204229,120.495428296029
112.626708851626,115.120598410308
107.74822615898,110.622647298923
113.278463640136,116.16414845863
108.193865901811,111.496943349119
117.258264111233,119.618398028831
110.413696851655,113.867949608204
114.498058855299,117.327822673791
114.797909076565,117.839907740434
104.693923326614,108.767173173119
118.565329789975,121.02779184416
108.02074910826,110.823667293058
114.831959291381,117.3972042819
105.064229373124,108.982242299406
120.359608887448,122.699880479465
114.156272058224,116.666952288264
117.67142460122,119.979544528224
104.480704562177,107.928371946195
113.516382065087,116.080787651681
113.06777616102,115.554058827376
115.991181305062,118.35102456894
111.606312888751,114.253690687833
110.531404792628,113.434325838449
110.862807217892,113.761136509846
111.703201938498,114.603901870004
118.561315920726,120.760344810444
112.367875267962,115.184113255706
113.194709064864,116.044214343203
114.478445867671,117.4776022336
103.699278334165,107.079764005399
111.260082135979,114.559399987795
110.404906482803,113.138106712846
111.818283221632,114.775906449037
117.172622857569,119.845877492521
103.835059426989,107.468151361325
120.131109646741,122.281401684294
107.274124855813,110.310878552393
114.058407683722,116.827108232436
107.499503569059,110.351741697827
109.551989039607,112.590432899825
118.806948068859,120.962212397152
111.433289491492,114.292964178236
109.809782344995,113.125952695702
108.932911734293,111.730171110531
111.351323625344,114.107732496571
108.690014442287,111.737759584229
111.355182267232,114.333338631871
101.632478291644,105.232263595156
108.062145644521,111.089904282389
113.335230180248,116.294773417359
107.390421398961,110.65954710309
107.409097843081,111.137131043897
107.181399982972,110.608702213324
111.663391445116,114.512160401565
110.240267189849,113.394972759053
109.735909160603,112.782603800174
108.446167407796,111.082817291414
110.991342759237,113.720440244238
116.435094639262,119.085333015156
112.6127494471,116.089774748934
108.349306094551,111.873460876371
105.563145040439,108.871420891595
107.617182197418,110.703631738382
106.039700924134,110.004663623688
110.175603462363,113.504505206725
114.26898898108,116.94748246603
109.431698435165,112.483358144513
111.513930382356,114.162495652584
114.292485815767,116.915512267236
112.564001496677,115.548291757046
114.02531535186,116.590765964707
117.516269799694,119.992572902692
114.00305530282,116.240676145603
116.13675264902,118.964458647812
108.227804899407,111.330831416283
109.816067800992,112.74955111736
104.506936241124,108.166340119235
109.629714868241,112.417364856648
113.136834182492,115.775492143335
102.117769676305,105.680509910463
112.362540781333,115.145355116906
101.57908301785,104.929457836496
109.924932457567,112.736174205187
108.105931887745,111.353991331941
106.916211259786,110.613714458265
106.508849349842,109.984141169329
109.978631241159,113.030048745143
110.227248238915,113.015229775397
121.102213320342,123.250709514291
115.960309412087,118.407345435997
104.098022371745,107.864230045336
106.387642128874,110.174892790913
115.821051811335,118.294199620546
113.414812506242,116.152489138495
111.169629182531,114.04773579749
114.686572974727,117.100072435344
107.34269352062,110.104695178709
113.234409934779,115.596970020988
109.957640801971,112.739919480825
113.327428944778,116.045011007068
113.660317416698,116.429083322522
103.621065059739,107.082018207195
115.376550413909,117.924014787913
109.130545093415,112.129695906676
104.176329401977,107.746425217823
115.040774092103,117.559368376571
105.943927168921,109.531590839883
114.078247594917,116.664069130143
103.956818999488,107.44901159812
102.963888354089,106.640031716158
110.569918622689,113.540477116749
110.439461666182,113.38051728609
107.582917678935,110.513452257906
114.854288525941,117.645775566402
107.914309428733,111.065171388839
112.470729323288,115.115855164465
109.559133599387,112.521421071524
109.106028224146,112.126634412162
116.906583243106,119.305538613596
113.236036439922,115.814326187656
106.75176525356,110.118100450097
116.922418974071,119.293939024427
110.136528906589,113.245042433362
103.673640415197,107.043892303487
110.05375336658,112.888427300995
113.830960253237,116.564954464539
108.986661828076,111.760470080732
111.655996867254,114.313795351417
103.742789336988,107.747606695695
110.367355608989,113.487268775557
116.248628838887,118.889246693255
114.534474058554,117.126208686073
107.274314130228,110.642479589154
111.312517709056,114.131952694055
109.943156734755,112.763623631585
112.78660478002,115.404150607017
108.150453037904,111.187225464232
105.142263142633,108.686369225738
113.877698373985,116.954675917062
111.362724691383,114.237784047159
112.858932982959,115.742891714058
119.488067303802,121.87602021622
113.976282713881,116.525752853074
113.228810048381,115.868040378325
112.068516847357,114.820590448674
113.738361583213,116.357288822538
111.422625739398,114.278009740908
117.129268479108,119.903980136962
111.820713211113,114.64969907523
121.013156475042,123.111310382134
109.507114133431,112.398816383925
107.351311294957,110.437228229125
113.675809853222,116.278398778664
114.669816984741,117.202518169468
121.614729492905,123.739930269316
109.39155366243,112.569884158419
116.095326632121,118.453613118069
109.434992945699,112.806678817797
112.002341308439,114.744450600197
111.020154205369,114.209633820263
110.991077582934,113.85322089012
105.026501681877,108.373932875053
116.875320984516,119.624892337486
112.444957807072,115.155286230766
111.453535388583,114.538255114288
106.159183319436,109.782534033329
118.524272496432,120.779018504648
120.669670103312,122.670718094724
110.172116388973,113.192084848856
110.543603021621,113.274269904234
113.468466972319,116.045522853785
107.858630826087,110.9580097244
111.799945654445,115.076122968736
112.787124968833,116.14772413425
109.613418751119,112.17456097718
120.187929054239,122.492518697452
106.773045425455,110.140700175167
110.434450987728,113.554917190059
113.700731594195,116.141742576396
110.111860215083,113.181786243916
109.425257218904,112.460464387276
115.122694859156,118.04232824148
107.969620949913,111.256844069992
113.607669727715,116.434694520854
112.631032593626,115.558395992407
103.392540731663,106.752380447947
111.461067375452,114.50816102297
113.058855492965,115.764374568058
103.612736951164,107.408995020827
111.522768966195,114.692648402678
118.892728440516,121.12277138987
127.481313386223,129.231387704146
